sell it at 07-00:52 | money: 10357.77
    sell price: 5810.000000  |  current-amount: 0.000000, current-account: 10357.770000
buy it at 07-00:53 | money: 10363.32
    buy price: 5801.000000  |  current-amount: 1.000000, current-account: 4556.770000
sell it at 07-00:53 | money: 10366.77
    sell price: 5810.000000  |  current-amount: 0.000000, current-account: 10366.770000
buy it at 07-00:53 | money: 10373.87
    buy price: 5802.900000  |  current-amount: 1.000000, current-account: 4563.870000
sell it at 07-00:53 | money: 10373.87
    sell price: 5810.000000  |  current-amount: 0.000000, current-account: 10373.870000
buy it at 07-00:53 | money: 10382.87
    buy price: 5801.000000  |  current-amount: 1.000000, current-account: 4572.870000
sell it at 07-00:53 | money: 10373.87
    sell price: 5801.000000  |  current-amount: 0.000000, current-account: 10373.870000
buy it at 07-00:53 | money: 10377.32
    buy price: 5806.550000  |  current-amount: 1.000000, current-account: 4567.320000
sell it at 07-00:54 | money: 10397.32
    sell price: 5830.000000  |  current-amount: 0.000000, current-account: 10397.320000
buy it at 07-00:54 | money: 10408.32
    buy price: 5790.000000  |  current-amount: 1.000000, current-account: 4607.320000
sell it at 07-00:54 | money: 10407.32
    sell price: 5800.000000  |  current-amount: 0.000000, current-account: 10407.320000
buy it at 07-00:54 | money: 10417.32
    buy price: 5790.000000  |  current-amount: 1.000000, current-account: 4617.320000
sell it at 07-00:54 | money: 10407.32
    sell price: 5790.000000  |  current-amount: 0.000000, current-account: 10407.320000
buy it at 07-00:54 | money: 10426.32
    buy price: 5781.000000  |  current-amount: 1.000000, current-account: 4626.320000
sell it at 07-00:55 | money: 10416.32
    sell price: 5790.000000  |  current-amount: 0.000000, current-account: 10416.320000
buy it at 07-02:25 | money: 10421.63
    buy price: 5776.010000  |  current-amount: 1.000000, current-account: 4640.310000
sell it at 07-02:25 | money: 10400.31
    sell price: 5760.000000  |  current-amount: 0.000000, current-account: 10400.310000
buy it at 07-03:10 | money: 10418.31
    buy price: 5462.000000  |  current-amount: 1.000000, current-account: 4938.310000
sell it at 07-03:13 | money: 10478.28
    sell price: 5539.970000  |  current-amount: 0.000000, current-account: 10478.280000
buy it at 07-03:13 | money: 10504.07
    buy price: 5522.030000  |  current-amount: 1.000000, current-account: 4956.250000
sell it at 07-03:14 | money: 10485.25
    sell price: 5529.000000  |  current-amount: 0.000000, current-account: 10485.250000
buy it at 07-03:14 | money: 10515.24
    buy price: 5520.000000  |  current-amount: 1.000000, current-account: 4965.250000
sell it at 07-03:15 | money: 10494.14
    sell price: 5528.890000  |  current-amount: 0.000000, current-account: 10494.140000
buy it at 07-03:15 | money: 10514.14
    buy price: 5500.000000  |  current-amount: 1.000000, current-account: 4994.140000
sell it at 07-03:45 | money: 10582.14
    sell price: 5588.000000  |  current-amount: 0.000000, current-account: 10582.140000
buy it at 07-04:10 | money: 10601.14
    buy price: 5561.000000  |  current-amount: 1.000000, current-account: 5021.140000
sell it at 07-04:11 | money: 10599.23
    sell price: 5578.090000  |  current-amount: 0.000000, current-account: 10599.230000
buy it at 07-04:11 | money: 10615.77
    buy price: 5545.010000  |  current-amount: 1.000000, current-account: 5054.220000
sell it at 07-04:16 | money: 10614.22
    sell price: 5560.000000  |  current-amount: 0.000000, current-account: 10614.220000
buy it at 07-04:16 | money: 10615.24
    buy price: 5557.980000  |  current-amount: 1.000000, current-account: 5056.240000
sell it at 07-04:16 | money: 10610.24
    sell price: 5554.000000  |  current-amount: 0.000000, current-account: 10610.240000
buy it at 07-04:16 | money: 10622.21
    buy price: 5528.030000  |  current-amount: 1.000000, current-account: 5082.210000
sell it at 07-04:17 | money: 10599.18
    sell price: 5516.970000  |  current-amount: 0.000000, current-account: 10599.180000
buy it at 07-04:17 | money: 10615.15
    buy price: 5501.000000  |  current-amount: 1.000000, current-account: 5098.180000
sell it at 07-04:18 | money: 10595.08
    sell price: 5496.900000  |  current-amount: 0.000000, current-account: 10595.080000
buy it at 07-04:18 | money: 10597.35
    buy price: 5494.630000  |  current-amount: 1.000000, current-account: 5100.450000
sell it at 07-04:18 | money: 10603.4
    sell price: 5502.950000  |  current-amount: 0.000000, current-account: 10603.400000
buy it at 07-04:18 | money: 10710.37
    buy price: 5400.000000  |  current-amount: 1.000000, current-account: 5203.400000
sell it at 07-04:18 | money: 10636.74
    sell price: 5433.340000  |  current-amount: 0.000000, current-account: 10636.740000
buy it at 07-04:18 | money: 10642.25
    buy price: 5427.830000  |  current-amount: 1.000000, current-account: 5208.910000
sell it at 07-04:19 | money: 10641.75
    sell price: 5432.840000  |  current-amount: 0.000000, current-account: 10641.750000
buy it at 07-04:19 | money: 10671.09
    buy price: 5400.000000  |  current-amount: 1.000000, current-account: 5241.750000
sell it at 07-04:19 | money: 10671.08
    sell price: 5429.330000  |  current-amount: 0.000000, current-account: 10671.080000
buy it at 07-04:19 | money: 10704.42
    buy price: 5400.000000  |  current-amount: 1.000000, current-account: 5271.080000
sell it at 07-04:20 | money: 10671.08
    sell price: 5400.000000  |  current-amount: 0.000000, current-account: 10671.080000
buy it at 07-04:25 | money: 10687.87
    buy price: 5450.000000  |  current-amount: 1.000000, current-account: 5221.080000
sell it at 07-06:26 | money: 10660.08
    sell price: 5439.000000  |  current-amount: 0.000000, current-account: 10660.080000
buy it at 07-06:40 | money: 10660.69
    buy price: 5437.370000  |  current-amount: 1.000000, current-account: 5222.710000
sell it at 07-06:40 | money: 10637.71
    sell price: 5415.000000  |  current-amount: 0.000000, current-account: 10637.710000
buy it at 07-06:40 | money: 10642.71
    buy price: 5410.000000  |  current-amount: 1.000000, current-account: 5227.710000
sell it at 07-06:42 | money: 10625.21
    sell price: 5397.500000  |  current-amount: 0.000000, current-account: 10625.210000
buy it at 07-06:42 | money: 10636.71
    buy price: 5385.000000  |  current-amount: 1.000000, current-account: 5240.210000
sell it at 07-06:59 | money: 10638.4
    sell price: 5398.190000  |  current-amount: 0.000000, current-account: 10638.400000
buy it at 07-06:59 | money: 10663.22
    buy price: 5372.160000  |  current-amount: 1.000000, current-account: 5266.240000
sell it at 07-06:59 | money: 10655.1
    sell price: 5388.860000  |  current-amount: 0.000000, current-account: 10655.100000
buy it at 07-06:59 | money: 10686.59
    buy price: 5368.000000  |  current-amount: 1.000000, current-account: 5287.100000
sell it at 07-07:02 | money: 10677.06
    sell price: 5389.960000  |  current-amount: 0.000000, current-account: 10677.060000
buy it at 07-07:10 | money: 10683.48
    buy price: 5377.000000  |  current-amount: 1.000000, current-account: 5300.060000
sell it at 07-07:10 | money: 10679.06
    sell price: 5379.000000  |  current-amount: 0.000000, current-account: 10679.060000
buy it at 07-07:10 | money: 10690.02
    buy price: 5368.040000  |  current-amount: 1.000000, current-account: 5311.020000
sell it at 07-07:12 | money: 10671.02
    sell price: 5360.000000  |  current-amount: 0.000000, current-account: 10671.020000
buy it at 07-07:12 | money: 10672.54
    buy price: 5358.000000  |  current-amount: 1.000000, current-account: 5313.020000
sell it at 07-07:18 | money: 10662.02
    sell price: 5349.000000  |  current-amount: 0.000000, current-account: 10662.020000
buy it at 07-07:18 | money: 10682.07
    buy price: 5327.620000  |  current-amount: 1.000000, current-account: 5334.400000
sell it at 07-07:18 | money: 10682.4
    sell price: 5348.000000  |  current-amount: 0.000000, current-account: 10682.400000
buy it at 07-07:18 | money: 10684.78
    buy price: 5327.620000  |  current-amount: 1.000000, current-account: 5354.780000
sell it at 07-07:21 | money: 10668.32
    sell price: 5313.540000  |  current-amount: 0.000000, current-account: 10668.320000
buy it at 07-07:24 | money: 10681.03
    buy price: 5271.000000  |  current-amount: 1.000000, current-account: 5397.320000
sell it at 07-07:24 | money: 10667.22
    sell price: 5269.900000  |  current-amount: 0.000000, current-account: 10667.220000
buy it at 07-07:24 | money: 10685.12
    buy price: 5252.000000  |  current-amount: 1.000000, current-account: 5415.220000
sell it at 07-07:25 | money: 10682.75
    sell price: 5267.530000  |  current-amount: 0.000000, current-account: 10682.750000
buy it at 07-07:35 | money: 10689.24
    buy price: 5233.510000  |  current-amount: 1.000000, current-account: 5449.240000
sell it at 07-07:45 | money: 10693.34
    sell price: 5244.100000  |  current-amount: 0.000000, current-account: 10693.340000
buy it at 07-07:45 | money: 10698.19
    buy price: 5205.150000  |  current-amount: 1.000000, current-account: 5488.190000
sell it at 07-07:46 | money: 10688.19
    sell price: 5200.000000  |  current-amount: 0.000000, current-account: 10688.190000
buy it at 07-07:46 | money: 10698.19
    buy price: 5210.000000  |  current-amount: 1.000000, current-account: 5478.190000
sell it at 07-07:47 | money: 10678.17
    sell price: 5199.980000  |  current-amount: 0.000000, current-account: 10678.170000
buy it at 07-07:47 | money: 10691.17
    buy price: 5175.000000  |  current-amount: 1.000000, current-account: 5503.170000
sell it at 07-07:48 | money: 10678.17
    sell price: 5175.000000  |  current-amount: 0.000000, current-account: 10678.170000
buy it at 07-07:48 | money: 10696.16
    buy price: 5157.000000  |  current-amount: 1.000000, current-account: 5521.170000
sell it at 07-07:49 | money: 10671.17
    sell price: 5150.000000  |  current-amount: 0.000000, current-account: 10671.170000
buy it at 07-07:49 | money: 10679.17
    buy price: 5142.000000  |  current-amount: 1.000000, current-account: 5529.170000
sell it at 07-07:49 | money: 10669.17
    sell price: 5140.000000  |  current-amount: 0.000000, current-account: 10669.170000
